==PROF== Connected to process 2303849 (/home/t-jialianggu/.conda/envs/sglang-dev/bin/python3.11)
input shape: torch.Size([128, 201])
==WARNING== Unable to access the following 6 metrics: ctc__rx_bytes_data_user.sum, ctc__rx_bytes_data_user.sum.pct_of_peak_sustained_elapsed, ctc__rx_bytes_data_user.sum.per_second, ctc__tx_bytes_data_user.sum, ctc__tx_bytes_data_user.sum.pct_of_peak_sustained_elapsed, ctc__tx_bytes_data_user.sum.per_second.


Warmup done
Profiled section done
==PROF== Disconnected from process 2303849
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","2303849","python3.11","127.0.0.1","nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","GPU Speed Of Light Throughput","DRAM Frequency","hz","3199369490.34",
"0","2303849","python3.11","127.0.0.1","nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","GPU Speed Of Light Throughput","SM Frequency","hz","1643831367.86",
"0","2303849","python3.11","127.0.0.1","nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","909136",
"0","2303849","python3.11","127.0.0.1","nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","GPU Speed Of Light Throughput","Memory Throughput","%","93.00",
"0","2303849","python3.11","127.0.0.1","nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","GPU Speed Of Light Throughput","DRAM Throughput","%","17.18",
"0","2303849","python3.11","127.0.0.1","nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","GPU Speed Of Light Throughput","Duration","ns","548128",
"0","2303849","python3.11","127.0.0.1","nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","94.15",
"0","2303849","python3.11","127.0.0.1","nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","GPU Speed Of Light Throughput","L2 Cache Throughput","%","49.52",
"0","2303849","python3.11","127.0.0.1","nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","GPU Speed Of Light Throughput","SM Active Cycles","cycle","890156.08",
"0","2303849","python3.11","127.0.0.1","nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","90.42",
